0,"[-1.         -0.99999268 -0.9999919  -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -0.99999174
 -1.        ]"
1024,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
1536,"[-1.         -1.         -0.9994908  -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -0.99766752 -1.
 -1.        ]"
1537,"[-0.99993972 -0.99994383 -0.99994717 -0.99994216 -0.99993939 -0.99995013
 -0.99994327 -0.99993939 -0.99993978 -0.99994332 -0.99994051 -0.99994053
 -0.99993948]"
1569,"[-0.97579218 -0.98499344 -0.98276381 -0.97490591 -0.98312681 -0.98276381
 -0.98460075 -0.98375771 -0.98310854 -0.98402061 -0.98344637 -0.98310854
 -0.98276381]"
5671,"[-0.62081458 -0.65724641 -0.69637434 -0.63583032 -0.67740306 -0.62839829
 -0.64311371 -0.63583032 -0.62081458 -0.62839829 -0.66410148 -0.64311371
 -0.65025144]"
5735,"[-0.73103553 -0.71422996 -0.71422996 -0.71994536 -0.69710794 -0.70244686
 -0.70839792 -0.70839792 -0.70244686 -0.73700212 -0.71994536 -0.69637434
 -0.73103553]"
7783,"[-0.84855064 -0.85621842 -0.83768943 -0.83535119 -0.84789186 -0.84756332
 -0.86191217 -0.83838777 -0.83535119 -0.84411693 -0.84093564 -0.83768943
 -0.84411693]"
7807,"[-0.99996715 -0.9999651  -0.9999598  -0.99996609 -0.99408631 -0.99996538
 -0.99996371 -0.99996292 -0.99997031 -0.99996366 -0.99996216 -0.99996216
 -0.99996845]"
4,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
516,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
1540,"[-0.99998753 -0.99998413 -0.99987863 -0.99998454 -0.99998476 -0.98816673
 -0.9999857  -0.99998506 -0.99998506 -0.99987911 -0.99998476 -0.99988343
 -0.9999848 ]"
1543,"[-0.88717219 -0.8532841  -0.85621842 -0.85621842 -0.87263218 -0.8532841
 -0.85909405 -0.85621842 -0.85028989 -0.87263218 -0.85909405 -0.8532841
 -0.8532841 ]"
1799,"[-0.73103553 -0.74137118 -0.72554646 -0.74033484 -0.73641482 -0.71994536
 -0.71994536 -0.73641482 -0.74168652 -0.73513615 -0.71994536 -0.71422996
 -0.71422996]"
3847,"[-0.66410148 -0.67072752 -0.67740306 -0.72554646 -0.683855   -0.67020411
 -0.67081945 -0.64311371 -0.67740306 -0.64311371 -0.66410148 -0.65724641
 -0.66410148]"
3871,"[-0.8693109  -0.86738044 -0.86191217 -0.86191217 -0.87625485 -0.85909405
 -0.85909405 -0.87263218 -0.86467392 -0.85909405 -0.86716408 -0.86191217
 -0.86191217]"
