0,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
32,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
40,"[-1.         -1.         -0.99999977 -1.         -1.         -1.
 -1.         -1.         -0.99982762 -0.99999979 -1.         -0.99984784
 -1.        ]"
1064,"[-1.         -0.99999523 -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -0.99999642
 -1.        ]"
1128,"[-1.         -0.89076043 -0.99999999 -1.         -1.         -1.
 -0.98576043 -0.99999999 -1.         -0.98713571 -0.99999999 -0.98645865
 -0.98714878]"
1144,"[-0.99996552 -0.99996836 -0.99997145 -0.9999667  -0.99996495 -0.99996817
 -0.99996495 -0.99996495 -0.99996671 -0.99996995 -0.99997024 -0.99996495
 -0.99997423]"
1146,"[-0.99798369 -0.99827127 -0.99818028 -0.99825068 -0.99783464 -0.99808451
 -0.99835771 -0.99818028 -0.99787757 -0.99776587 -0.99776587 -0.99851783
 -0.99859194]"
3450,"[-0.99858842 -0.90832491 -0.90834194 -0.90843304 -0.99843982 -0.9984405
 -0.99827127 -0.99827563 -0.99827563 -0.99830716 -0.99827127 -0.99818028
 -0.99818028]"
3962,"[-0.98774115 -0.99974088 -0.98709595 -0.99980283 -0.99975697 -0.99979795
 -0.98775445 -0.9997995  -0.99974088 -0.99978691 -0.9998812  -0.99979583
 -0.99981089]"
4090,"[-0.99999972 -0.99976132 -0.99999965 -0.99999964 -0.99999964 -0.99999963
 -0.99999962 -0.99999963 -0.99999973 -0.99975245 -0.99999966 -0.9999997
 -0.99999965]"
4095,"[-0.99951601 -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.        ]"
4,"[-1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -0.99988531 -1.
 -1.        ]"
5,"[-0.99999997 -0.99999997 -1.         -1.         -1.         -0.97960931
 -1.         -0.97853612 -0.99999998 -0.99999998 -1.         -1.
 -0.99999998]"
517,"[-0.99999925 -0.98058964 -0.99999917 -0.99999914 -0.99999917 -0.99999915
 -1.         -1.         -1.         -0.99999932 -0.99999917 -0.99999998
 -0.99999999]"
519,"[-1.         -1.         -1.         -1.         -0.99515055 -0.99539302
 -1.         -0.99539302 -1.         -0.99539302 -1.         -0.99562337
 -0.99539925]"
551,"[-0.99985998 -0.99987246 -0.9998778  -0.99987242 -0.99695286 -0.99986698
 -0.99985129 -0.99987363 -0.9998505  -0.99990711 -0.99986698 -0.99988909
 -0.99989707]"
623,"[-0.99234857 -0.99284048 -0.99234857 -0.99310595 -0.99234857 -0.99210201
 -0.99194587 -0.99234857 -0.99194587 -0.99220232 -0.99339487 -0.99194587
 -0.99194587]"
879,"[-0.99586547 -0.99586547 -0.99564787 -0.99578286 -0.9960722  -0.99564787
 -0.99564787 -0.99586547 -0.99566125 -0.99564787 -0.99618067 -0.9960722
 -0.99568041]"
4975,"[-0.99952047 -0.99956722 -0.99961492 -0.99958005 -0.99972619 -0.99974044
 -0.99952864 -0.99975384 -0.99956722 -0.99956722 -0.99958886 -0.99954445
 -0.99962895]"
7023,"[-0.9999951  -0.99999501 -0.99999498 -0.99999547 -0.99999501 -0.99999523
 -0.99999541 -0.99999447 -0.99999547 -0.99999447 -0.99999506 -0.99999471
 -0.99999503]"
8175,"[-1.         -0.99999415 -1.         -1.         -1.         -1.
 -1.         -1.         -0.99983544 -1.         -1.         -1.
 -1.        ]"
128,"[-0.99971127 -1.         -1.         -1.         -0.99978776 -0.99973942
 -1.         -1.         -0.99975245 -0.99977659 -1.         -1.
 -0.99975245]"
1152,"[-0.96226464 -0.95367088 -1.         -0.96141253 -1.         -0.9512325
 -0.95724381 -0.95362376 -0.95912344 -1.         -0.95594257 -1.
 -0.9659092 ]"
1408,"[-0.99999953 -0.9999995  -1.         -1.         -1.         -0.99999945
 -0.99999955 -0.99999973 -1.         -1.         -0.99999945 -1.
 -1.        ]"
1424,"[-0.99999989 -0.99999991 -0.99999988 -0.9999999  -0.99999988 -0.99999988
 -0.99999988 -0.99999988 -0.99999988 -0.9999999  -0.99872207 -0.9999999
 -0.9999999 ]"
3472,"[-0.99994146 -0.99993837 -0.99995084 -0.99994918 -0.99994146 -0.99994146
 -0.99995382 -0.99995349 -0.99994773 -0.99994716 -0.99994052 -0.99994438
 -0.99994893]"
7572,"[-0.99680078 -0.9966324  -0.99728567 -0.99680078 -0.99872922 -0.9966324
 -0.9966324  -0.99680078 -0.99835771 -0.99680078 -0.99680078 -0.99818028
 -0.99725707]"
7574,"[-0.99700778 -0.99645516 -0.9972938  -0.99645516 -0.99696074 -0.99739422
 -0.99778381 -0.99764828 -0.99701947 -0.99711271 -0.99776587 -0.99711271
 -0.99735977]"
7646,"[-0.99999939 -0.99999979 -0.99999974 -0.99999972 -0.99999977 -0.99999974
 -0.99999975 -0.99999967 -0.99999967 -0.99999967 -0.99999971 -0.99999965
 -0.99999972]"
8159,"[-1.         -1.         -1.         -1.         -1.         -1.
 -1.         -0.99866698 -1.         -1.         -1.         -1.
 -1.        ]"
512,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
514,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
578,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
582,"[-0.99999701 -0.99999716 -0.99999669 -0.99999659 -0.99999714 -0.99999699
 -0.99999767 -0.99999714 -0.9999973  -0.9999946  -0.99999557 -0.99999811
 -0.99999651]"
710,"[-0.99974859 -0.99973611 -0.99973693 -0.99975384 -0.99971289 -0.9997995
 -0.99976614 -0.99975384 -0.99973643 -0.99969778 -0.99977784 -0.99982809
 -0.99978186]"
974,"[-0.99542688 -0.9214147  -0.99407947 -0.99407947 -0.99376786 -0.9214147
 -0.99407947 -0.92241067 -0.99465672 -0.9214147  -0.99395322 -0.99407947
 -0.99520991]"
