0,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
1,"[-1.         -1.         -1.         -0.99977659 -1.         -0.99972571
 -1.         -0.99968008 -1.         -0.99972886 -0.99968008 -1.
 -0.99981803]"
513,"[-0.99562337 -0.99661    -0.99624759 -0.99624759 -0.99562337 -0.99539302
 -0.99562337 -0.99589418 -0.99562337 -1.         -0.99999998 -0.9958422
 -0.99539302]"
515,"[-0.99987279 -0.99988506 -0.99985919 -0.99986585 -0.99988503 -0.99989547
 -0.99985919 -0.99987928 -1.         -0.99986959 -1.         -0.99986623
 -1.        ]"
643,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
659,"[-0.99999166 -0.9991075  -0.99999122 -0.99999028 -0.99906051 -0.9991075
 -0.99901112 -0.99999355 -0.99999177 -0.99998977 -0.99999166 -0.99999447
 -0.99908328]"
691,"[-0.99988892 -0.99989707 -0.99990711 -0.99985998 -0.99987231 -0.99986698
 -0.99988892 -0.99990646 -0.99988595 -0.99986698 -0.99989707 -0.99985998
 -0.99990248]"
695,"[-0.99879276 -0.99900022 -0.99879276 -0.99879276 -0.99885313 -0.99886846
 -0.99900582 -0.99875742 -0.99878944 -0.99901944 -0.99879276 -0.9990167
 -0.99885313]"
4791,"[-0.99987995 -0.99989975 -0.99989282 -0.99986574 -0.99988486 -0.99985998
 -0.99987147 -0.99988595 -0.99987906 -0.99988595 -0.99986698 -0.99985998
 -0.99988486]"
4863,"[-0.99999999 -0.99999999 -0.99999999 -0.99999999 -0.99999999 -0.99999999
 -0.99999999 -0.99999999 -0.99999999 -0.99999999 -0.99992772 -0.99999999
 -0.99999999]"
6911,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
1024,"[-0.9999674  -0.99994418 -0.99994952 -0.99995889 -0.99994401 -0.9999521
 -0.99994541 -0.99995884 -1.         -0.99995009 -0.99994272 -0.9999449
 -0.99996475]"
1025,"[-1.        -1.        -1.        -1.        -0.9999714 -1.
 -1.        -1.        -1.        -1.        -1.        -1.
 -1.       ]"
1281,"[-0.93353527 -1.         -0.92223928 -0.9999985  -0.99999853 -0.99005597
 -0.99999846 -1.         -0.99999801 -0.9999982  -1.         -1.
 -0.9999985 ]"
1283,"[-0.99999991 -0.99999991 -0.9999999  -0.99999992 -0.9999999  -0.9999999
 -0.9999999  -0.99999991 -0.9999999  -0.9999999  -0.99999991 -0.99999991
 -0.99999991]"
5379,"[-0.99999712 -0.99999656 -0.99999701 -0.99999651 -0.99999701 -0.99999633
 -0.99999682 -0.99999728 -0.99999633 -0.99999744 -0.99999669 -0.99999682
 -0.99999669]"
7427,"[-0.99986698 -0.99985261 -0.99985133 -0.99983398 -0.99985998 -0.99987039
 -0.99984486 -0.99983398 -0.99984004 -0.99985998 -0.99985261 -0.99984486
 -0.99984764]"
7431,"[-0.99580393 -0.99555509 -0.99696074 -0.996819   -0.99696074 -0.99562041
 -0.99680078 -0.99584593 -0.99559079 -0.99560205 -0.99680078 -0.99666751
 -0.99570218]"
7511,"[-0.99996836 -0.99996836 -0.99995912 -0.99996659 -0.9999547  -0.9999636
 -0.9999547  -0.9999587  -0.99996592 -0.99996817 -0.99996466 -0.99986618
 -0.99996337]"
7519,"[-0.99999994 -0.99999993 -0.99999991 -0.99999975 -0.99999995 -0.99999993
 -0.99999973 -0.99999994 -0.99999994 -0.99999994 -0.99999993 -0.99999992
 -0.99999994]"
8031,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
1040,"[-1.         -0.99994952 -0.99994687 -1.         -0.99994113 -0.99993803
 -0.99994952 -1.         -0.99993477 -1.         -1.         -1.
 -0.99994339]"
1104,"[-1.         -1.         -0.99996395 -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.        ]"
5200,"[-1.         -0.99694364 -0.99694053 -1.         -0.99999994 -0.99678277
 -0.99661345 -1.         -0.99999993 -1.         -1.         -1.
 -0.9967795 ]"
7248,"[-0.99999633 -0.99999649 -0.99999707 -0.99999677 -0.99999633 -0.99999669
 -0.99999669 -0.99999667 -0.99999677 -0.99999684 -0.99999651 -0.99999658
 -0.99999633]"
7249,"[-0.99977784 -0.99985532 -0.99659545 -0.99677214 -0.99969778 -0.99692821
 -0.99986698 -0.99659545 -0.99972724 -0.99969364 -0.99977784 -0.99693107
 -0.99972724]"
7257,"[-0.99982809 -0.99985261 -0.99982742 -0.99980952 -0.99981905 -0.99981438
 -0.99982809 -0.99980952 -0.99983669 -0.99986698 -0.99981905 -0.99982809
 -0.99981905]"
7513,"[-0.99934766 -0.99934766 -0.99938027 -0.99934766 -0.99938027 -0.99946814
 -0.99935969 -0.99937631 -0.9994407  -0.99942953 -0.99948103 -0.99940308
 -0.9993794 ]"
7515,"[-0.99998238 -0.99998443 -0.99998238 -0.99998364 -0.9999827  -0.99998106
 -0.99998201 -0.99998279 -0.99998291 -0.99998577 -0.99998106 -0.99998145
 -0.99998534]"
8027,"[-0.9999999  -0.99999991 -0.99999992 -0.99999991 -0.99999992 -0.99999992
 -0.99999991 -0.99999992 -0.99999992 -0.99999993 -0.99999908 -0.99999991
 -0.99999992]"
2,"[-0.99999995 -0.99999993 -1.         -0.999986   -0.99999994 -0.99998598
 -0.99999995 -0.999988   -0.99999993 -1.         -0.99999993 -1.
 -0.99998367]"
1026,"[-0.9970224  -1.         -1.         -1.         -0.99661345 -0.99661345
 -1.         -1.         -1.         -0.9967795  -1.         -1.
 -1.        ]"
1602,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
1610,"[-0.99999891 -0.99999848 -0.99999708 -0.99999281 -0.99999913 -0.99999917
 -0.99999791 -0.9999978  -0.99999839 -0.99999908 -0.99999281 -0.99999317
 -0.99999281]"
8043,"[-0.99999997 -0.99999998 -0.99999997 -0.99999997 -0.99999997 -0.99999997
 -0.99999997 -0.99999997 -0.99999997 -0.99999997 -0.99999997 -0.99999997
 -0.99999997]"
8047,"[-1.         -1.         -1.         -1.         -1.         -0.99199432
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.        ]"
16,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
2064,"[-0.99999967 -0.99999974 -1.         -0.99999699 -0.99999968 -0.99999963
 -0.99999968 -0.99999965 -0.9999997  -0.99999965 -0.99999977 -0.9999997
 -0.99999961]"
2066,"[-0.99694364 -1.         -0.99709645 -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.        ]"
2578,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
2610,"[-0.99997536 -0.99999285 -0.99999321 -0.99999248 -0.99999122 -0.99999011
 -0.99999285 -0.99999122 -0.99999248 -0.99997372 -0.99999423 -0.99998923
 -0.99999208]"
2674,"[-0.99951317 -0.99958225 -0.99954445 -0.99956722 -0.99960463 -0.99966071
 -0.99946866 -0.99954445 -0.99962041 -0.99949523 -0.99959185 -0.99968187
 -0.99954445]"
3698,"[-0.99891047 -0.99891047 -0.9990167  -0.99903085 -0.99927301 -0.99891047
 -0.99911257 -0.99896495 -0.9990167  -0.99897156 -0.99931332 -0.9990167
 -0.99891047]"
3834,"[-0.99998866 -0.99998809 -0.99998969 -0.99999248 -0.99998743 -0.99999121
 -0.99998743 -0.99998743 -0.99998804 -0.9999892  -0.99998706 -0.99998866
 -0.99998791]"
3838,"[-0.99986623 -0.99999999 -0.99999999 -0.99999999 -0.99999999 -0.99999999
 -0.99999999 -0.99999999 -0.99999999 -0.99999999 -0.99999999 -0.99989649
 -0.9998036 ]"
7934,[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
64,"[-0.99910667 -0.99895912 -0.99999994 -0.99905965 -0.99884667 -0.99052076
 -0.99908742 -0.99999991 -0.99901116 -0.9999999  -0.99910758 -0.99890433
 -0.99919459]"
66,"[-1.         -1.         -0.99999998 -1.         -0.99999997 -1.
 -0.99999998 -0.99999998 -1.         -1.         -1.         -1.
 -1.        ]"
1090,"[-1.         -1.         -1.         -1.         -1.         -1.
 -0.97362119 -1.         -1.         -1.         -1.         -1.
 -1.        ]"
5186,"[-0.86080188 -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -0.99979837 -1.         -1.         -1.
 -1.        ]"
5190,"[-0.99998006 -0.99997991 -0.99998201 -0.99997993 -0.99998089 -0.99998092
 -0.99997991 -0.99998045 -0.99997971 -0.99997991 -0.99998095 -0.99998068
 -0.99997993]"
5702,"[-0.99987995 -0.99989175 -0.99987995 -0.99988426 -0.99989166 -0.99987918
 -0.99988595 -0.99988595 -0.99987995 -0.99990431 -0.99988595 -0.99988857
 -0.99987687]"
5718,"[-0.99946861 -0.99960942 -0.99938027 -0.99949523 -0.99938027 -0.99941861
 -0.99949523 -0.99934766 -0.99939375 -0.99950316 -0.99934766 -0.99938027
 -0.99959427]"
5846,"[-0.99986383 -0.90486173 -0.99986556 -0.99985998 -0.99983669 -0.99983669
 -0.9998519  -0.99986117 -0.99984909 -0.99984842 -0.99984486 -0.90485261
 -0.99985169]"
5878,"[-0.99997892 -0.99997675 -0.99997583 -0.99998106 -0.99997675 -0.99997552
 -0.99997552 -0.99997777 -0.99997774 -0.99997629 -0.99997675 -0.91997891
 -0.99997901]"
8182,"[-1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -0.99999281 -1.
 -1.        ]"
512,"[-0.99979816 -1.         -1.         -1.         -0.99980826 -1.
 -1.         -0.99976483 -1.         -1.         -0.99980826 -0.99975245
 -1.        ]"
1536,"[-0.99643521 -0.99610175 -0.99462665 -0.99462665 -1.         -1.
 -1.         -1.         -0.99514562 -0.99628389 -1.         -1.
 -0.99515055]"
