0,"[-0.87155762 -0.87237296 -0.87239249 -0.87407653 -0.87257332 -0.87196774
 -0.87085967 -0.871099   -0.87175606 -0.8721635  -0.8720791  -0.87182589
 -0.87198893]"
512,"[-0.86665316 -0.86670594 -0.87251855 -0.87224406 -0.87160439 -0.87221338
 -0.872587   -0.87322571 -0.87377498 -0.87186186 -0.87271338 -0.87539493
 -0.86350991]"
768,"[-0.87184717 -0.81865561 -0.83056812 -0.84424399 -0.85602154 -0.86961846
 -0.83526904 -0.84414372 -0.87387765 -0.85802871 -0.8717003  -0.84610762
 -0.85301608]"
896,"[-0.51119506 -0.66753914 -0.66940963 -0.78685088 -0.83043599 -0.86592728
 -0.54210162 -0.55953532 -0.61680921 -0.81467768 -0.83976168 -0.87599683
 -0.50841844]"
1920,"[-0.23270184 -0.1573536  -0.12343266 -0.78292434 -0.12586964 -0.2533499
 -0.85109725 -0.86549203 -0.08242882 -0.85231201 -0.18878235 -0.34065541
 -0.86483855]"
1952,"[-0.83514531 -0.23227465 -0.25046712 -0.91180815 -0.1349778  -0.20406779
 -0.08455363 -0.8999267  -0.94240031 -0.02023179 -0.13132783 -0.08436264
 -0.46964899]"
6114,"[-0.0499494  -0.05       -0.04940269 -0.99262933  0.         -0.09668692
  0.         -0.17642899 -0.09698963 -0.04719286  0.          0.
 -0.98799192]"
6122,"[-0.18463311 -0.90643867 -0.97183684 -0.09748892 -0.04997326 -0.04991657
 -0.09731726 -0.14250877 -0.99865672  0.          0.         -0.04999976
 -0.99753997]"
6123,"[-0.99993844 -0.18548979 -0.99768651 -0.14245655 -0.30143013 -0.30165064
 -0.0975     -0.22468511 -0.22418118 -0.18549329 -0.7073388  -0.09737686
 -0.88730395]"
2048,"[-0.87298984 -0.8725396  -0.87393813 -0.87602102 -0.87474107 -0.87313766
 -0.8736646  -0.87653167 -0.8777197  -0.84609721 -0.86777854 -0.86988634
 -0.87306659]"
2064,"[-0.82892208 -0.8435918  -0.8700429  -0.8464696  -0.84519973 -0.85196693
 -0.85703431 -0.86341285 -0.86655966 -0.84325922 -0.86467288 -0.883928
 -0.8144048 ]"
2320,"[-0.45650038 -0.82256205 -0.4335585  -0.60002533 -0.84447102 -0.39002226
 -0.44129892 -0.89873823 -0.36899105 -0.62944948 -0.48672813 -0.43878333
 -0.8515371 ]"
2352,"[-0.74296685 -0.79145702 -0.89022802 -0.16905899 -0.25400234 -0.90185944
 -0.10189172 -0.16231263 -0.32553033 -0.8813717  -0.16330495 -0.22947258
 -0.29270017]"
2356,"[-0.84874903  0.         -0.16703579 -0.20931815 -0.10748268 -0.21122463
 -0.04385036 -0.04834095 -0.08611664 -0.04642276 -0.04414639 -0.04856938
 -0.88988928]"
6454,"[-0.04533693 -0.97178559  0.         -0.09299803  0.         -0.09448077
 -0.04565888 -0.0484461  -0.04689824 -0.09621163 -0.04998884 -0.04956055
 -0.91746852]"
6582,"[-0.22542806 -0.88572477 -0.97352274 -0.04827752 -0.04759802 -0.09734897
 -0.95776308  0.         -0.04545929 -0.04997191 -0.04907076 -0.04677161
 -0.93529896]"
8126,"[-0.53670837 -0.99994423 -0.99983455 -0.51204189 -0.62262173 -0.55985479
 -0.43103167 -0.45956357 -0.55977144 -0.99998001 -0.26489636 -0.51101859
 -0.99936507]"
